Date,Station,Entries
3/8/2023,East Falls Church,475.0
3/8/2023,Tysons,362.0
3/8/2023,Spring Hill,105.0
3/8/2023,Clarendon,470.0
3/8/2023,Shady Grove,873.0
3/8/2023,Downtown Largo,300.0
3/8/2023,Eastern Market,749.0
3/8/2023,Cleveland Park,488.0
3/8/2023,West Hyattsville,62.0
3/8/2023,Vienna,2414.0
3/8/2023,Suitland,942.0
3/8/2023,Metro Center,951.0
3/8/2023,U Street,695.0
3/8/2023,Medical Center,396.0
3/8/2023,Archives,144.0
3/8/2023,Cleveland Park,986.0
3/8/2023,Tysons,255.0
3/8/2023,Capitol Heights,23.0
3/8/2023,Archives,323.0
3/8/2023,Ronald Reagan Washington National Airport,7.0
3/7/2023,Twinbrook,1.0
3/8/2023,Morgan Boulevard,10.0
3/7/2023,Archives,6.0
3/7/2023,Wheaton,4.0
3/7/2023,Tysons,751.0
3/7/2023,Farragut West,774.0
3/7/2023,Shaw-Howard U,742.0
3/7/2023,Navy Yard-Ballpark,1464.0
3/7/2023,Eisenhower Ave,407.0
3/7/2023,New Carrollton,107.0
3/7/2023,Deanwood,44.0
3/7/2023,Archives,1907.0
3/7/2023,Glenmont,280.0
3/7/2023,Branch Ave,165.0
3/7/2023,U Street,583.0
3/7/2023,Glenmont,564.0
3/7/2023,West Hyattsville,280.0
3/7/2023,Judiciary Square,2182.0
3/7/2023,Ronald Reagan Washington National Airport,1209.0
3/7/2023,Arlington Cemetery,260.0
3/7/2023,Tysons,276.0
3/7/2023,New Carrollton,1607.0
3/7/2023,Morgan Boulevard,104.0
3/7/2023,Ronald Reagan Washington National Airport,8.0
3/7/2023,Franconia-Springfield,2.0
3/7/2023,Brookland-CUA,724.0
3/7/2023,Morgan Boulevard,506.0
3/7/2023,Van Dorn Street,224.0
3/7/2023,Deanwood,176.0
3/8/2023,Woodley Park,3.0
3/8/2023,Forest Glen,1.0
3/8/2023,Minnesota Ave,1.0
3/9/2023,Archives,135.0
3/9/2023,Capitol South,630.0
3/9/2023,Metro Center,886.0
3/9/2023,Downtown Largo,1191.0
3/9/2023,Benning Road,654.0
3/9/2023,Silver Spring,1172.0
3/9/2023,Arlington Cemetery,379.0
3/9/2023,Franconia-Springfield,575.0
3/9/2023,Pentagon,1118.0
3/9/2023,Takoma,632.0
3/9/2023,Eastern Market,819.0
3/9/2023,Potomac Ave,498.0
