Date,Addison Road,Anacostia,Archives,Arlington Cemetery,Ashburn,Ballston-MU,Benning Road,Bethesda,Braddock Road,Branch Ave,Brookland-CUA,Capitol Heights,Capitol South,Cheverly,Clarendon,Cleveland Park,College Park-U of Md,Columbia Heights,Congress Heights,Court House,Crystal City,Deanwood,Downtown Largo,Dulles Airport,Dunn Loring,Dupont Circle,East Falls Church,Eastern Market,Eisenhower Ave,Farragut North,Farragut West,Federal Center SW,Federal Triangle,Foggy Bottom-GWU,Forest Glen,Fort Totten,Franconia-Springfield,Friendship Heights,Gallery Place,Georgia Ave-Petworth,Glenmont,Greenbelt,Greensboro,Grosvenor-Strathmore,Herndon,Huntington,Hyattsville Crossing,Innovation Center,Judiciary Square,King St-Old Town,L'Enfant Plaza,Landover,Loudoun Gateway,McLean,McPherson Sq,Medical Center,Metro Center,Minnesota Ave,Morgan Boulevard,Mt Vernon Sq,Navy Yard-Ballpark,Naylor Road,New Carrollton,NoMa-Gallaudet U,North Bethesda,Pentagon,Pentagon City,Potomac Ave,Reston Town Center,Rhode Island Ave,Rockville,Ronald Reagan Washington National Airport,Rosslyn,Shady Grove,Shaw-Howard U,Silver Spring,Smithsonian,Southern Ave,Spring Hill,Stadium-Armory,Suitland,Takoma,Tenleytown-AU,Twinbrook,Tysons,U Street,Union Station,Van Dorn Street,Van Ness-UDC,Vienna,Virginia Sq-GMU,Waterfront,West Falls Church,West Hyattsville,Wheaton,Wiehle-Reston East,Woodley Park
2023-03-21,236.8,470.2,627.6,259.6,289.6,1117.2,266.6,949.0,429.2,442.0,691.6,192.0,1073.2,105.4,522.6,448.4,333.8,1244.0,245.2,716.6,1029.2,136.8,388.4,302.4,341.8,1739.2,532.0,675.6,177.6,2290.8,2072.2,470.0,833.2,2610.2,251.4,1078.4,608.0,754.6,2444.8,674.0,651.2,615.6,175.0,493.2,155.4,591.8,451.6,126.8,680.2,749.4,1894.6,143.2,69.4,247.8,1449.8,568.6,3174.4,200.4,145.0,435.0,1080.4,188.8,588.4,1458.8,356.2,1351.6,1096.6,431.4,138.2,655.2,448.6,916.6,1402.2,1148.4,541.8,1104.4,1950.8,383.8,108.8,300.8,329.0,612.0,758.2,442.2,341.8,679.6,2481.2,248.2,603.6,825.4,421.0,515.0,228.0,373.8,369.4,371.2,668.4
2023-03-22,235.4,477.0,682.0,389.25,264.2,1143.4,245.4,962.8,446.2,441.6,724.0,206.4,1214.6,103.2,547.6,474.0,378.4,1282.0,254.8,739.8,1156.4,144.8,405.6,291.4,370.2,1827.4,539.8,702.2,182.0,2238.2,2096.2,525.8,903.4,2612.8,254.8,1088.4,679.8,767.4,2440.6,700.6,662.6,628.4,186.6,523.0,177.8,584.6,452.4,134.2,715.2,756.4,2015.4,161.8,57.2,263.0,1546.0,578.0,3207.0,205.6,150.6,465.2,1148.0,200.4,627.4,1532.8,375.2,1334.0,1215.0,453.8,150.8,665.4,457.2,904.6,1520.8,1207.8,557.4,1148.2,2658.6,391.0,111.2,297.0,341.2,620.6,833.2,435.8,361.8,736.6,2541.8,262.4,656.0,820.4,443.4,581.4,247.8,410.2,374.8,384.4,704.6
2023-03-23,226.4,485.2,647.8,366.75,261.8,1195.4,260.2,964.6,428.2,421.0,753.4,207.4,1177.0,98.6,568.4,449.2,362.6,1278.6,243.8,763.8,1028.6,137.6,360.8,323.4,354.6,1882.2,541.2,732.2,182.2,2187.4,2024.8,479.6,876.2,2096.0,249.4,1122.6,654.6,736.4,2518.8,704.0,634.2,643.4,184.6,482.6,174.6,627.4,463.6,146.0,671.8,754.0,1920.8,144.4,52.6,262.8,1470.4,564.8,3268.2,199.2,139.6,467.8,1072.4,192.4,590.0,1498.4,351.4,1283.4,1180.8,448.6,132.2,660.8,439.2,901.6,1547.4,1096.0,572.0,1143.4,2989.0,368.2,113.6,316.8,324.2,590.2,820.0,446.4,332.8,751.4,2467.2,256.8,603.6,852.6,468.0,569.6,221.4,400.6,373.8,387.2,712.6
2023-03-24,207.4,411.0,587.6,267.25,148.6,928.6,228.8,702.2,316.0,325.8,611.4,165.8,941.2,76.8,450.4,362.2,259.4,1156.4,193.4,608.2,838.2,118.8,271.0,351.4,249.4,1610.8,376.2,640.2,150.4,1386.2,1298.4,413.2,742.0,2194.8,171.6,1011.4,468.6,557.8,2224.8,598.4,471.0,463.6,102.2,328.8,113.0,477.8,386.0,109.0,505.0,619.4,1566.0,128.4,35.0,151.8,1086.2,455.8,2143.8,163.0,112.6,409.4,895.2,156.4,421.8,1199.4,260.6,1058.6,1082.6,396.4,102.2,573.4,329.6,1015.2,1082.0,779.4,531.2,866.0,1605.6,331.0,82.2,279.6,277.6,441.4,634.8,343.8,284.6,707.8,2060.4,202.0,469.6,549.0,338.4,465.2,150.2,341.6,308.2,251.2,562.6
2023-03-25,83.2,225.4,516.6,372.0,211.6,810.2,122.4,571.2,233.0,168.8,396.0,77.4,417.2,38.0,497.2,327.4,228.6,1014.8,99.6,556.0,719.6,66.2,133.6,358.0,233.6,1464.8,353.6,630.2,134.0,708.0,785.2,336.4,551.0,1670.4,107.2,572.0,399.6,433.0,1969.2,431.0,304.4,475.6,104.2,252.2,97.0,279.0,266.8,129.2,269.6,571.0,1461.8,45.6,22.6,106.4,800.2,135.4,2059.6,79.0,48.8,429.0,1288.2,68.4,319.0,1056.6,178.2,166.8,1030.4,243.6,78.2,414.8,242.0,756.8,867.0,651.4,397.6,674.0,3318.4,139.4,96.6,148.4,112.0,273.6,434.6,249.8,423.0,739.2,1288.2,153.6,343.8,610.8,299.0,578.8,106.8,206.6,227.8,262.2,692.4
2023-03-26,83.8,209.2,824.4,1002.0,657.2,995.4,119.6,800.2,354.6,286.2,440.4,78.6,393.6,63.8,618.6,408.2,437.4,987.4,79.6,740.4,925.0,81.8,181.0,400.8,401.2,1640.4,686.8,830.2,178.0,1157.4,1196.4,348.4,2390.0,2231.8,185.6,630.6,947.2,450.0,1764.6,444.2,521.8,895.4,157.4,458.8,264.6,434.2,340.6,188.2,304.6,793.8,3317.8,60.6,96.6,179.2,1087.6,142.6,3269.4,84.0,49.8,431.6,1226.6,62.8,739.6,1071.4,272.2,271.2,1435.8,280.2,117.2,405.4,364.8,1206.8,1395.0,1345.6,451.6,865.2,2029.0,140.6,111.0,199.4,126.8,338.8,507.2,427.2,481.4,762.2,1561.4,250.6,398.8,1368.4,446.2,871.2,306.4,238.6,301.8,519.4,1060.0
2023-03-27,209.6,457.0,597.4,258.8,252.8,935.0,252.6,822.2,361.6,396.4,657.0,185.8,989.4,94.6,416.4,358.8,365.4,1180.4,225.6,606.8,897.2,129.8,321.8,386.2,290.0,1642.0,437.4,581.0,169.6,1759.0,1613.2,437.6,850.0,2326.6,197.6,1090.8,531.6,675.0,2127.8,626.6,535.6,506.6,139.6,403.0,139.8,542.6,399.4,120.6,622.2,710.6,1612.4,132.6,52.4,191.4,1212.2,522.0,2504.0,192.0,120.0,404.0,1240.4,166.0,511.0,1273.2,299.0,1200.2,1059.8,361.2,115.0,600.2,387.6,1032.4,1249.4,918.4,506.6,962.0,1769.4,352.2,101.4,275.2,314.0,522.0,685.4,372.2,283.4,636.6,2253.4,213.4,565.8,697.8,339.0,515.6,187.0,379.4,345.0,302.2,614.4
2023-03-28,227.6,520.4,727.2,418.25,269.0,1211.0,260.6,1022.8,443.8,445.2,725.8,207.2,1414.6,108.6,538.4,447.0,427.6,1321.4,253.2,767.2,1210.2,154.2,400.2,353.4,361.0,1949.2,555.4,719.0,203.6,2364.2,2255.0,563.2,1038.6,2765.8,257.2,1222.0,619.4,818.2,2697.2,732.6,636.0,585.8,193.4,472.2,153.4,605.6,473.2,131.6,718.6,829.4,2019.4,152.6,52.8,268.4,1647.0,608.4,3349.8,235.6,149.6,477.0,1503.6,187.0,572.0,1594.4,355.4,1429.0,1163.4,441.6,144.8,656.2,450.4,905.4,1532.2,1104.2,585.0,1150.2,1970.4,398.4,131.0,297.8,350.8,615.4,789.0,433.6,356.6,790.0,2684.6,264.0,626.6,854.2,442.4,563.8,254.6,404.6,390.6,362.0,784.2
2023-03-29,233.8,487.4,695.8,383.8,261.4,1229.8,287.8,1022.0,461.8,455.0,728.0,211.2,1270.2,102.6,537.2,467.2,456.4,1311.6,246.2,801.8,1240.8,160.4,396.6,350.4,365.4,2029.0,554.4,715.0,201.6,2255.0,2200.4,583.8,996.6,2673.8,257.2,1211.0,631.6,780.4,2582.2,721.2,648.4,597.6,181.6,487.2,158.4,602.0,449.6,149.0,735.2,833.6,2077.2,169.6,55.0,284.2,1573.6,617.2,3260.6,268.8,149.0,464.4,1191.2,188.2,607.6,1617.2,369.4,1399.8,1265.6,461.8,139.0,655.6,468.6,884.4,1594.2,1104.6,564.6,1154.2,2020.4,393.0,129.4,307.4,337.6,626.6,778.2,447.0,360.0,767.8,2671.6,264.8,666.4,825.6,450.2,566.6,249.6,415.6,366.0,389.8,778.8
2023-03-30,227.4,516.8,687.4,440.0,252.8,1215.2,253.4,984.4,456.2,482.4,692.4,214.2,1222.0,111.2,549.8,459.8,420.8,1208.6,247.4,772.8,1143.6,155.6,357.4,355.8,354.8,2032.6,549.0,763.0,202.8,2267.4,2075.8,541.8,901.4,2720.2,240.0,1205.2,676.0,810.6,2055.2,725.8,639.6,592.4,177.4,482.2,158.0,616.2,450.0,134.4,698.4,822.0,1913.8,153.2,49.4,255.2,1490.0,572.4,3060.2,204.2,144.2,487.6,3156.0,196.2,583.4,1538.2,342.0,1356.6,1226.8,447.8,154.8,663.6,440.6,896.4,1595.8,1073.0,582.6,1080.6,1924.2,377.4,126.4,313.4,342.2,602.6,775.6,423.2,364.2,814.2,2621.8,266.0,660.8,944.6,438.0,598.4,240.2,406.2,370.0,375.4,749.6
2023-03-31,208.6,449.6,637.4,390.8,196.0,1064.2,254.0,838.2,370.2,372.8,695.4,182.8,879.8,82.4,495.2,434.6,496.2,1281.6,198.0,673.4,940.2,125.4,281.8,357.8,288.0,1823.2,462.0,666.2,190.6,1575.2,1425.2,446.0,732.4,2517.0,194.6,1065.6,532.2,657.8,2439.4,666.4,536.4,484.4,125.6,385.4,115.6,513.2,439.0,110.0,1000.6,727.4,1558.2,131.6,27.4,177.6,1130.8,482.8,2654.6,184.4,109.8,449.6,981.0,168.2,476.8,1424.6,296.2,1135.6,1155.4,417.0,121.2,663.0,385.2,1019.0,1342.0,946.8,543.6,1041.6,2033.0,325.6,117.6,277.6,297.6,538.0,696.2,400.2,346.8,773.4,2148.2,224.4,567.0,696.8,376.6,570.4,177.6,387.6,364.4,292.0,812.2
